"Year","Month","Ranking","Title","Artist","Spotify Link"
"2024","Março","2","We Can't Be Friends (Wait for Your Love)","Ariana Grande","https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWR"
"2024","Março","3","Lose Control","Teddy Swims","https://open.spotify.com/track/6usohdch15A5lH8BPw6T"
"2024","Março","4","Texas Hold 'Em","Beyoncé","https://open.spotify.com/track/7uEcCGtM1F7NTuynSHum"
"2024","Março","5","Like That","Future, Metro Boomin, Kendrick Lamar","https://open.spotify.com/track/2tudvzsrGJETmP8zV8YQ"
"2024","Março","6","Beautiful Things","Benson Boone","https://open.spotify.com/track/6tNQ70jh4OwmPGpYyHfr"
"2024","Março","7","Lovin on Me","Jack Harlow","https://open.spotify.com/track/4xhsWYTOGcal8zt0J161"
"2024","Março","8","Greedy","Tate McRae","https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur"
"2024","Março","9","Snooze","SZA","https://open.spotify.com/track/4iZ4pt7kvjnQMTGq27hP"
"2024","Março","10","Yes, And?","Ariana Grande","https://open.spotify.com/track/7bywjHO5PVjoAqzdHKrW"
"2024","Abril","1","Like That","Future, Metro Boomin, Kendrick Lamar","https://open.spotify.com/track/2tudvzsrGJETmP8zV8YQ"
"2024","Abril","2","Too Sweet","Hozier","https://open.spotify.com/track/5evF5QJyZmuWeXzKqLzv"
"2024","Abril","3","Texas Hold 'Em","Beyoncé","https://open.spotify.com/track/7uEcCGtM1F7NTuynSHum"
"2024","Abril","4","Lose Control","Teddy Swims","https://open.spotify.com/track/6usohdch15A5lH8BPw6T"
"2024","Abril","5","Beautiful Things","Benson Boone","https://open.spotify.com/track/6tNQ70jh4OwmPGpYyHfr"
"2024","Abril","6","We Can't Be Friends (Wait for Your Love)","Ariana Grande","https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWR"
"2024","Abril","7","Carnival","¥$, Kanye West, Ty Dolla $ign","https://open.spotify.com/track/3K5K9W5K9W5K9W5K9W5K"
"2024","Abril","8","Lovin on Me","Jack Harlow","https://open.spotify.com/track/4xhsWYTOGcal8zt0J161"
"2024","Abril","9","Greedy","Tate McRae","https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur"
"2024","Abril","10","Snooze","SZA","https://open.spotify.com/track/4iZ4pt7kvjnQMTGq27hP"
"2024","Maio","1","Fortnight","Taylor Swift feat. Post Malone","https://open.spotify.com/track/2OzhQlIxJjfG1S66RUSw"
"2024","Maio","2","I Can Do It With a Broken Heart","Taylor Swift","https://open.spotify.com/track/4q5XjHP3ELFmrkFc7A8P"
"2024","Maio","3","Down Bad","Taylor Swift","https://open.spotify.com/track/3Z3Z3Z3Z3Z3Z3Z3Z3Z3Z"
"2024","Maio","4","Like That","Future, Metro Boomin, Kendrick Lamar","https://open.spotify.com/track/2tudvzsrGJETmP8zV8YQ"
"2024","Maio","5","Not Like Us","Kendrick Lamar","https://open.spotify.com/track/6AI3ezQ4o3HUoP6DhQUL"
"2024","Maio","6","Too Sweet","Hozier","https://open.spotify.com/track/5evF5QJyZmuWeXzKqLzv"
"2024","Maio","7","Lose Control","Teddy Swims","https://open.spotify.com/track/6usohdch15A5lH8BPw6T"
"2024","Maio","8","Beautiful Things","Benson Boone","https://open.spotify.com/track/6tNQ70jh4OwmPGpYyHfr"
"2024","Maio","9","I Had Some Help","Post Malone feat. Morgan Wallen","https://open.spotify.com/track/7ybb4SfwuBkwkS1XF2XL"
"2024","Maio","10","Espresso","Sabrina Carpenter","https://open.spotify.com/track/2qSkIjg1o9h3I3N3lDv"
"2024","Junho","1","I Had Some Help","Post Malone feat. Morgan Wallen","https://open.spotify.com/track/7ybb4SfwuBkwkS1XF2XL"
"2024","Junho","2","Not Like Us","Kendrick Lamar","https://open.spotify.com/track/6AI3ezQ4o3HUoP6DhQUL"
"2024","Junho","3","Espresso","Sabrina Carpenter","https://open.spotify.com/track/2qSkIjg1o9h3I3N3lDv"
"2024","Junho","4","Please Please Please","Sabrina Carpenter","https://open.spotify.com/track/5N3hjp1W3ZJMIveV6oG"
"2024","Junho","5","Million Dollar Baby","Tommy Richman","https://open.spotify.com/track/7nP6P6P6P6P6P6P6P6P6"
"2024","Junho","6","Lose Control","Teddy Swims","https://open.spotify.com/track/6usohdch15A5lH8BPw6T"
"2024","Junho","7","Beautiful Things","Benson Boone","https://open.spotify.com/track/6tNQ70jh4OwmPGpYyHfr"
"2024","Junho","8","Too Sweet","Hozier","https://open.spotify.com/track/5evF5QJyZmuWeXzKqLzv"
"2024","Junho","9","Fortnight","Taylor Swift feat. Post Malone","https://open.spotify.com/track/2OzhQlIxJjfG1S66RUSw"
"2024","Junho","10","Like That","Future, Metro Boomin, Kendrick Lamar","https://open.spotify.com/track/2tudvzsrGJETmP8zV8YQ"
"2024","Julho","1","A Bar Song (Tipsy)","Shaboozey","https://open.spotify.com/track/2FQhL1v3K3K3K3K3K3K3"
"2024","Julho","2","I Had Some Help","Post Malone feat. Morgan Wallen","https://open.spotify.com/track/7ybb4SfwuBkwkS1XF2XL"
"2024","Julho","3","Not Like Us","Kendrick Lamar","https://open.spotify.com/track/6AI3ezQ4o3HUoP6DhQUL"
"2024","Julho","4","Espresso","Sabrina Carpenter","https://open.spotify.com/track/2qSkIjg1o9h3I3N3lDv"
"2024","Julho","5","Please Please Please","Sabrina Carpenter","https://open.spotify.com/track/5N3hjp1W3ZJMIveV6oG"
"2024","Julho","6","Million Dollar Baby","Tommy Richman","https://open.spotify.com/track/7nP6P6P6P6P6P6P6P6P6"
"2024","Julho","7","Lose Control","Teddy Swims","https://open.spotify.com/track/6usohdch15A5lH8BPw6T"
"2024","Julho","8","Beautiful Things","Benson Boone","https://open.spotify.com/track/6tNQ70jh4OwmPGpYyHfr"
"2024","Julho","9","Too Sweet","Hozier","https://open.spotify.com/track/5evF5QJyZmuWeXzKqLzv"
"2024","Julho","10","Good Luck, Babe!","Chappell Roan","https://open.spotify.com/track/0WbMK4wrZqU3Q6P4QjX"
"2024","Agosto","1","A Bar Song (Tipsy)","Shaboozey","https://open.spotify.com/track/2FQhL1v3K3K3K3K3K3K3"
"2024","Agosto","2","I Had Some Help","Post Malone feat. Morgan Wallen","https://open.spotify.com/track/7ybb4SfwuBkwkS1XF2XL"
"2024","Agosto","3","Please Please Please","Sabrina Carpenter","https://open.spotify.com/track/5N3hjp1W3ZJMIveV6oG"
"2024","Agosto","4","Espresso","Sabrina Carpenter","https://open.spotify.com/track/2qSkIjg1o9h3I3N3lDv"
"2024","Agosto","5","Not Like Us","Kendrick Lamar","https://open.spotify.com/track/6AI3ezQ4o3HUoP6DhQUL"
"2024","Agosto","6","Good Luck, Babe!","Chappell Roan","https://open.spotify.com/track/0WbMK4wrZqU3Q6P4QjX"
"2024","Agosto","7","Million Dollar Baby","Tommy Richman","https://open.spotify.com/track/7nP6P6P6P6P6P6P6P6P6"
"2024","Agosto","8","Lose Control","Teddy Swims","https://open.spotify.com/track/6usohdch15A5lH8BPw6T"
"2024","Agosto","9","Beautiful Things","Benson Boone","https://open.spotify.com/track/6tNQ70jh4OwmPGpYyHfr"
"2024","Agosto","10","Too Sweet","Hozier","https://open.spotify.com/track/5evF5QJyZmuWeXzKqLzv"
"2024","Setembro","1","A Bar Song (Tipsy)","Shaboozey","https://open.spotify.com/track/2FQhL1v3K3K3K3K3K3K3"
"2024","Setembro","2","Taste","Sabrina Carpenter","https://open.spotify.com/track/5G2rbo4qNJaD6wXNm3Q"
"2024","Setembro","3","Please Please Please","Sabrina Carpenter","https://open.spotify.com/track/5N3hjp1W3ZJMIveV6oG"
"2024","Setembro","4","Espresso","Sabrina Carpenter","https://open.spotify.com/track/2qSkIjg1o9h3I3N3lDv"
"2024","Setembro","5","Good Luck, Babe!","Chappell Roan","https://open.spotify.com/track/0WbMK4wrZqU3Q6P4QjX"
"2024","Setembro","6","I Had Some Help","Post Malone feat. Morgan Wallen","https://open.spotify.com/track/7ybb4SfwuBkwkS1XF2XL"
"2024","Setembro","7","Not Like Us","Kendrick Lamar","https://open.spotify.com/track/6AI3ezQ4o3HUoP6DhQUL"
"2024","Setembro","8","Lose Control","Teddy Swims","https://open.spotify.com/track/6usohdch15A5lH8BPw6T"
"2024","Setembro","9","Beautiful Things","Benson Boone","https://open.spotify.com/track/6tNQ70jh4OwmPGpYyHfr"
"2024","Setembro","10","Million Dollar Baby","Tommy Richman","https://open.spotify.com/track/7nP6P6P6P6P6P6P6P6P6"
"2024","Outubro","1","A Bar Song (Tipsy)","Shaboozey","https://open.spotify.com/track/2FQhL1v3K3K3K3K3K3K3"
"2024","Outubro","2","Taste","Sabrina Carpenter","https://open.spotify.com/track/5G2rbo4qNJaD6wXNm3Q"
"2024","Outubro","3","Please Please Please","Sabrina Carpenter","https://open.spotify.com/track/5N3hjp1W3ZJMIveV6oG"
"2024","Outubro","4","Espresso","Sabrina Carpenter","https://open.spotify.com/track/2qSkIjg1o9h3I3N3lDv"
"2024","Outubro","5","Good Luck, Babe!","Chappell Roan","https://open.spotify.com/track/0WbMK4wrZqU3Q6P4QjX"
"2024","Outubro","6","Die With a Smile","Lady Gaga & Bruno Mars","https://open.spotify.com/track/2plbrgMYnU9YbK6K6K6"
"2024","Outubro","7","I Had Some Help","Post Malone feat. Morgan Wallen","https://open.spotify.com/track/7ybb4SfwuBkwkS1XF2XL"
"2024","Outubro","8","Birds of a Feather","Billie Eilish","https://open.spotify.com/track/6dW6W6W6W6W6W6W6W6W6"
"2024","Outubro","9","Lose Control","Teddy Swims","https://open.spotify.com/track/6usohdch15A5lH8BPw6T"
"2024","Outubro","10","Beautiful Things","Benson Boone","https://open.spotify.com/track/6tNQ70jh4OwmPGpYyHfr"
"2024","Novembro","1","A Bar Song (Tipsy)","Shaboozey","https://open.spotify.com/track/2FQhL1v3K3K3K3K3K3K3"
"2024","Novembro","2","Squabble Up","Kendrick Lamar","https://open.spotify.com/track/4k4k4k4k4k4k4k4k4k4k"
"2024","Novembro","3","Taste","Sabrina Carpenter","https://open.spotify.com/track/5G2rbo4qNJaD6wXNm3Q"
"2024","Novembro","4","Die With a Smile","Lady Gaga & Bruno Mars","https://open.spotify.com/track/2plbrgMYnU9YbK6K6K6"
"2024","Novembro","5","Good Luck, Babe!","Chappell Roan","https://open.spotify.com/track/0WbMK4wrZqU3Q6P4QjX"
"2024","Novembro","6","Birds of a Feather","Billie Eilish","https://open.spotify.com/track/6dW6W6W6W6W6W6W6W6W6"
"2024","Novembro","7","Espresso","Sabrina Carpenter","https://open.spotify.com/track/2qSkIjg1o9h3I3N3lDv"
"2024","Novembro","8","Please Please Please","Sabrina Carpenter","https://open.spotify.com/track/5N3hjp1W3ZJMIveV6oG"
"2024","Novembro","9","I Had Some Help","Post Malone feat. Morgan Wallen","https://open.spotify.com/track/7ybb4SfwuBkwkS1XF2XL"
"2024","Novembro","10","Lose Control","Teddy Swims","https://open.spotify.com/track/6usohdch15A5lH8BPw6T"
"2024","Dezembro","1","All I Want for Christmas Is You","Mariah Carey","https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2mP"
"2024","Dezembro","2","A Bar Song (Tipsy)","Shaboozey","https://open.spotify.com/track/2FQhL1v3K3K3K3K3K3K3"
"2024","Dezembro","3","Squabble Up","Kendrick Lamar","https://open.spotify.com/track/4k4k4k4k4k4k4k4k4k4k"
"2024","Dezembro","4","Rockin' Around the Christmas Tree","Brenda Lee","https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg0"
"2024","Dezembro","5","Taste","Sabrina Carpenter","https://open.spotify.com/track/5G2rbo4qNJaD6wXNm3Q"
"2024","Dezembro","6","Die With a Smile","Lady Gaga & Bruno Mars","https://open.spotify.com/track/2plbrgMYnU9YbK6K6K6"
"2024","Dezembro","7","Good Luck, Babe!","Chappell Roan","https://open.spotify.com/track/0WbMK4wrZqU3Q6P4QjX"
"2024","Dezembro","8","Birds of a Feather","Billie Eilish","https://open.spotify.com/track/6dW6W6W6W6W6W6W6W6W6"
"2024","Dezembro","9","Last Christmas","Wham!","https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx"
"2024","Dezembro","10","Jingle Bell Rock","Bobby Helms","https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uz"
"2020","Janeiro","1","All I Want for Christmas Is You","Mariah Carey","https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2mP"
"2020","Janeiro","2","Circles","Post Malone","https://open.spotify.com/track/21jGcNKet2qwijlDFuPiD"
"2020","Janeiro","3","The Box","Roddy Ricch","https://open.spotify.com/track/0nbXyq5TXYPCO7zRvYDg"
"2020","Janeiro","4","Rockin' Around the Christmas Tree","Brenda Lee","https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg0"
"2020","Janeiro","5","Last Christmas","Wham!","https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx"
"2020","Janeiro","6","Jingle Bell Rock","Bobby Helms","https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uz"
"2020","Janeiro","7","Adore You","Harry Styles","https://open.spotify.com/track/3jjujdWJcZwCZoMqBLV9"
"2020","Janeiro","8","Memories","Maroon 5","https://open.spotify.com/track/2b8fOow8UzyDFAE27YhO"
"2020","Janeiro","9","Someone You Loved","Lewis Capaldi","https://open.spotify.com/track/7qEHsq2Xab3zQ27psHET"
"2020","Janeiro","10","10,000 Hours","Dan + Shay & Justin Bieber","https://open.spotify.com/track/2wrJq5XKLnmhRXeD5ELI"
"2020","Fevereiro","1","The Box","Roddy Ricch","https://open.spotify.com/track/0nbXyq5TXYPCO7zRvYDg"
"2020","Fevereiro","2","Circles","Post Malone","https://open.spotify.com/track/21jGcNKet2qwijlDFuPiD"
"2020","Fevereiro","3","Adore You","Harry Styles","https://open.spotify.com/track/3jjujdWJcZwCZoMqBLV9"
"2020","Fevereiro","4","Memories","Maroon 5","https://open.spotify.com/track/2b8fOow8UzyDFAE27YhO"
"2020","Fevereiro","5","Someone You Loved","Lewis Capaldi","https://open.spotify.com/track/7qEHsq2Xab3zQ27psHET"
"2020","Fevereiro","6","Everything I Wanted","Billie Eilish","https://open.spotify.com/track/3ZCTVFBt2Brf6RLE8RPF"
"2020","Fevereiro","7","Dance Monkey","Tones and I","https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZA"
"2020","Fevereiro","8","Roxanne","Arizona Zervas","https://open.spotify.com/track/696DnlkuDOXcMAnKlTgX"
"2020","Fevereiro","9","Blinding Lights","The Weeknd","https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi"
"2020","Fevereiro","10","Heartless","The Weeknd","https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7"
"2020","Março","1","The Box","Roddy Ricch","https://open.spotify.com/track/0nbXyq5TXYPCO7zRvYDg"
"2020","Março","2","Blinding Lights","The Weeknd","https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi"
"2020","Março","3","Circles","Post Malone","https://open.spotify.com/track/21jGcNKet2qwijlDFuPiD"
"2020","Março","4","Adore You","Harry Styles","https://open.spotify.com/track/3jjujdWJcZwCZoMqBLV9"
"2020","Março","5","Everything I Wanted","Billie Eilish","https://open.spotify.com/track/3ZCTVFBt2Brf6RLE8RPF"
"2020","Março","6","Dance Monkey","Tones and I","https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZA"
"2020","Março","7","Say So","Doja Cat","https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXLU"
"2020","Março","8","Intentions","Justin Bieber feat. Quavo","https://open.spotify.com/track/4umIPjkehX1r7uhmGvXi"
"2020","Março","9","Life Is Good","Future feat. Drake","https://open.spotify.com/track/5yY9lUy8nbvjM1nzXusW"
"2020","Março","10","Don’t Start Now","Dua Lipa","https://open.spotify.com/track/3PfIrDoz19wz7qKGeK7y"
"2020","Abril","1","Blinding Lights","The Weeknd","https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi"
"2020","Abril","2","The Box","Roddy Ricch","https://open.spotify.com/track/0nbXyq5TXYPCO7zRvYDg"
"2020","Abril","3","Toosie Slide","Drake","https://open.spotify.com/track/466cKvZn1j45IpxDdYZqd"
"2020","Abril","4","Say So","Doja Cat","https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXLU"
"2020","Abril","5","Adore You","Harry Styles","https://open.spotify.com/track/3jjujdWJcZwCZoMqBLV9"
"2020","Abril","6","Intentions","Justin Bieber feat. Quavo","https://open.spotify.com/track/4umIPjkehX1r7uhmGvXi"
"2020","Abril","7","Circles","Post Malone","https://open.spotify.com/track/21jGcNKet2qwijlDFuPiD"
"2020","Abril","8","Don’t Start Now","Dua Lipa","https://open.spotify.com/track/3PfIrDoz19wz7qKGeK7y"
"2020","Abril","9","Everything I Wanted","Billie Eilish","https://open.spotify.com/track/3ZCTVFBt2Brf6RLE8RPF"
"2020","Abril","10","Savage","Megan Thee Stallion","https://open.spotify.com/track/5kqIPrATa4eLjfQSdpgH"
"2020","Maio","1","Say So","Doja Cat","https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXLU"
"2020","Maio","2","Savage (Remix)","Megan Thee Stallion feat. Beyoncé","https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac"
"2020","Maio","3","The Scotts","The Scotts, Travis Scott & Kid Cudi","https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mb"
"2020","Maio","4","Blinding Lights","The Weeknd","https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi"
"2020","Maio","5","Toosie Slide","Drake","https://open.spotify.com/track/466cKvZn1j45IpxDdYZqd"
"2020","Maio","6","The Box","Roddy Ricch","https://open.spotify.com/track/0nbXyq5TXYPCO7zRvYDg"
"2020","Maio","7","Adore You","Harry Styles","https://open.spotify.com/track/3jjujdWJcZwCZoMqBLV9"
"2020","Maio","8","Intentions","Justin Bieber feat. Quavo","https://open.spotify.com/track/4umIPjkehX1r7uhmGvXi"
"2020","Maio","9","Roses (Imanbek Remix)","SAINt JHN","https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI"
"2020","Maio","10","Circles","Post Malone","https://open.spotify.com/track/21jGcNKet2qwijlDFuPiD"
"2020","Junho","1","Rockstar","DaBaby feat. Roddy Ricch","https://open.spotify.com/track/7ytR5pFWmSjzHNxQtkfT"
"2020","Junho","2","Savage (Remix)","Megan Thee Stallion feat. Beyoncé","https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac"
"2020","Junho","3","Blinding Lights","The Weeknd","https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi"
"2020","Junho","4","Say So","Doja Cat","https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXLU"
"2020","Junho","5","The Box","Roddy Ricch","https://open.spotify.com/track/0nbXyq5TXYPCO7zRvYDg"
"2020","Junho","6","Roses (Imanbek Remix)","SAINt JHN","https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI"
"2020","Junho","7","Intentions","Justin Bieber feat. Quavo","https://open.spotify.com/track/4umIPjkehX1r7uhmGvXi"
"2020","Junho","8","Adore You","Harry Styles","https://open.spotify.com/track/3jjujdWJcZwCZoMqBLV9"
"2020","Junho","9","Toosie Slide","Drake","https://open.spotify.com/track/466cKvZn1j45IpxDdYZqd"
"2020","Junho","10","Don’t Start Now","Dua Lipa","https://open.spotify.com/track/3PfIrDoz19wz7qKGeK7y"
"2020","Julho","1","Rockstar","DaBaby feat. Roddy Ricch","https://open.spotify.com/track/7ytR5pFWmSjzHNxQtkfT"
"2020","Julho","2","Blinding Lights","The Weeknd","https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi"
"2020","Julho","3","Savage (Remix)","Megan Thee Stallion feat. Beyoncé","https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac"
"2020","Julho","4","Roses (Imanbek Remix)","SAINt JHN","https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI"
"2020","Julho","5","The Box","Roddy Ricch","https://open.spotify.com/track/0nbXyq5TXYPCO7zRvYDg"
"2020","Julho","6","Say So","Doja Cat","https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXLU"
"2020","Julho","7","Watermelon Sugar","Harry Styles","https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7"
"2020","Julho","8","Intentions","Justin Bieber feat. Quavo","https://open.spotify.com/track/4umIPjkehX1r7uhmGvXi"
"2020","Julho","9","Adore You","Harry Styles","https://open.spotify.com/track/3jjujdWJcZwCZoMqBLV9"
"2020","Julho","10","Circles","Post Malone","https://open.spotify.com/track/21jGcNKet2qwijlDFuPiD"
"2020","Agosto","1","Watermelon Sugar","Harry Styles","https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7"
"2020","Agosto","2","Rockstar","DaBaby feat. Roddy Ricch","https://open.spotify.com/track/7ytR5pFWmSjzHNxQtkfT"
"2020","Agosto","3","Blinding Lights","The Weeknd","https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi"
"2020","Agosto","4","Roses (Imanbek Remix)","SAINt JHN","https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI"
"2020","Agosto","5","Savage (Remix)","Megan Thee Stallion feat. Beyoncé","https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac"
"2020","Agosto","6","WAP","Cardi B feat. Megan Thee Stallion","https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbC"
"2020","Agosto","7","The Box","Roddy Ricch","https://open.spotify.com/track/0nbXyq5TXYPCO7zRvYDg"
"2020","Agosto","8","Say So","Doja Cat","https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXLU"
"2020","Agosto","9","Intentions","Justin Bieber feat. Quavo","https://open.spotify.com/track/4umIPjkehX1r7uhmGvXi"
"2020","Agosto","10","Adore You","Harry Styles","https://open.spotify.com/track/3jjujdWJcZwCZoMqBLV9"
"2020","Setembro","1","WAP","Cardi B feat. Megan Thee Stallion","https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbC"
"2020","Setembro","2","Dynamite","BTS","https://open.spotify.com/track/0t1kP63rueHleOhQkYSX"
"2020","Setembro","3","Watermelon Sugar","Harry Styles","https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7"
"2020","Setembro","4","Rockstar","DaBaby feat. Roddy Ricch","https://open.spotify.com/track/7ytR5pFWmSjzHNxQtkfT"
"2020","Setembro","5","Blinding Lights","The Weeknd","https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi"
"2020","Setembro","6","Roses (Imanbek Remix)","SAINt JHN","https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI"
"2020","Setembro","7","Savage (Remix)","Megan Thee Stallion feat. Beyoncé","https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac"
"2020","Setembro","8","Laugh Now Cry Later","Drake feat. Lil Durk","https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOU"
"2020","Setembro","9","Mood","24kGoldn feat. Iann Dior","https://open.spotify.com/track/3tjFYV6RSFt6rXzXzXzXz"
"2020","Setembro","10","The Box","Roddy Ricch","https://open.spotify.com/track/0nbXyq5TXYPCO7zRvYDg"
"2020","Outubro","1","Savage Love (Laxed - Siren Beat)","Jawsh 685 & Jason Derulo","https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmx"
"2020","Outubro","2","WAP","Cardi B feat. Megan Thee Stallion","https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbC"
"2020","Outubro","3","Mood","24kGoldn feat. Iann Dior","https://open.spotify.com/track/3tjFYV6RSFt6rXzXzXzXz"
"2020","Outubro","4","Dynamite","BTS","https://open.spotify.com/track/0t1kP63rueHleOhQkYSX"
"2020","Outubro","5","Laugh Now Cry Later","Drake feat. Lil Durk","https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOU"
"2020","Outubro","6","Watermelon Sugar","Harry Styles","https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7"
"2020","Outubro","7","Blinding Lights","The Weeknd","https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi"
"2020","Outubro","8","Roses (Imanbek Remix)","SAINt JHN","https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI"
"2020","Outubro","9","Rockstar","DaBaby feat. Roddy Ricch","https://open.spotify.com/track/7ytR5pFWmSjzHNxQtkfT"
"2020","Outubro","10","I Hope","Gabby Barrett feat. Charlie Puth","https://open.spotify.com/track/2dhPA5zPL86nzVcmZ4Jio"
"2020","Novembro","1","Mood","24kGoldn feat. Iann Dior","https://open.spotify.com/track/3tjFYV6RSFt6rXzXzXzXz"
"2020","Novembro","2","Positions","Ariana Grande","https://open.spotify.com/track/35mvY5S1H3J2QZyna3Tkb"
"2020","Novembro","3","Savage Love (Laxed - Siren Beat)","Jawsh 685 & Jason Derulo","https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmx"
"2020","Novembro","4","Laugh Now Cry Later","Drake feat. Lil Durk","https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOU"
"2020","Novembro","5","WAP","Cardi B feat. Megan Thee Stallion","https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbC"
"2020","Novembro","6","Dynamite","BTS","https://open.spotify.com/track/0t1kP63rueHleOhQkYSX"
